PMID,Node1,Node1_Type,Relationship,Node2,Node2_Type,Description
29588093,Sentinel Lymph Node Biopsy,diap,DIAGNOSES,Ovarian Carcinoma,neop,Sentinel lymph node biopsy in ovarian cancers: Are intracervical injections necessary?
29651744,T cell therapy,topp,TREATS,Ovarian Carcinoma,neop,Prospects of chimeric antigen receptor T cell therapy in ovarian cancer.
29651744,T cell therapy,topp,TREATS,Ovarian Carcinoma,neop,"Initial studies of CAR T cell therapy have shown promising results in ovarian cancer, but there are some obstacles like impaired T cell trafficking, lack of antigenic targets, cytokine release syndrome and most important immunosuppressive tumor microenvironment."
29651744,T cell therapy,topp,TREATS,Ovarian Carcinoma,neop,"In this review article, we highlight the current knowledge regarding CAR T cell therapy in ovarian cancer."
29739756,Chemokine (C-C Motif) Ligand 4,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"C57/BL6 mice treated with MIP-1beta exhibited increased P-selectin expression on mesothelial cells lining peritoneal tissues, which enhanced CaOV3 adhesion ex vivo and ID8 adhesion in vivo Analysis of samples from patients with HGSOC confirmed increased MIP-1beta and P-selectin, suggesting that this novel multicellular mechanism could be targeted to slow or stop metastasis in HGSOC by repurposing anti-CCR5 and P-selectin therapies developed for other indications."
29751991,CA-125 Antigen,carb,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"OBJECTIVE: The effect of CA125, neutrophil to lymphocyte ratio (NLR) and thrombocytosis on survival has been studied in ovarian cancer."
30666724,CA-125 Antigen,carb,ASSOCIATED_WITH,Ovarian Carcinoma,neop,dNLR was positively correlated with stage and carbohydrate antigen-125 in ovarian cancer.
31341906,CA-125 Antigen,carb,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Neutrophil-to-Lymphocyte Ratio in Ovarian Cancer Patients with Low CA125 Concentration.
29772069,Tumor Antigens,orch,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Nature of tumour rejection antigens in ovarian cancer.
29772069,Tumor Antigens,orch,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"Of the various human tumour antigens defined to date in ovarian cancer, the cancer-testis (CT) family of antigens have been studied extensively preclinically and clinically because of their testis-restricted expression in normal tissues and ability to elicit robust immune responses."
29772069,Tumor Antigens,orch,ASSOCIATED_WITH,Ovarian Carcinoma,neop,This review will highlight current work in selecting tumour rejection antigens in ovarian cancer for improving the efficacy of immunotherapy.
31315674,Tumor Antigens,orch,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Oncolytic Maraba virus armed with tumor antigen boosts vaccine priming and reveals diverse therapeutic response patterns when combined with checkpoint blockade in ovarian cancer.
29802738,Infiltration,patf,COEXISTS_WITH,Ovarian Carcinoma,neop,CD8+ T-lymphocytes infiltration is a favorable prognostic marker in ovarian cancer.
30078505,Infiltration,patf,COEXISTS_WITH,Ovarian Carcinoma,neop,Patient inflammatory status and CD4+/CD8+ intraepithelial tumor lymphocyte infiltration are predictors of outcomes in high-grade serous ovarian cancer.
31076549,Infiltration,patf,COEXISTS_WITH,Ovarian Carcinoma,neop,TIM-3 Dictates Functional Orientation of the Immune Infiltrate in Ovarian Cancer.
29843813,PDCD1 gene,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Stratification of ovarian tumor pathology by expression of programmed cell death-1 (PD-1) and PD-ligand- 1 (PD-L1) in ovarian cancer.
29891489,PDCD1 gene,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"Programmed cell death 1 and programmed cell death ligand 1 (PD-L1), which are key mediators of host immune tolerance, are associated with ovarian cancer progression."
29891489,PDCD1 gene,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"Programmed cell death 1 and programmed cell death ligand 1 (PD-L1), which are key mediators of host immune tolerance, are associated with ovarian cancer progression."
29891489,PDCD1 gene,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Recent evidence indicates the importance of IFNgamma-induced PD-L1 for immune tolerance in ovarian cancer.
30702189,PDCD1 gene,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,We herein report the pathophysiological and therapeutic impacts of PD-L1 disruption in ovarian cancer.
30702189,PDCD1 gene,aapp,DISRUPTS,Ovarian Carcinoma,neop,Programmed cell death ligand 1 disruption by clustered regularly interspaced short palindromic repeats/Cas9-genome editing promotes antitumor immunity and suppresses ovarian cancer progression.
30702189,PDCD1 gene,aapp,DISRUPTS,Ovarian Carcinoma,neop,"These results indicate that CRISPR/Cas9-mediated PD-L1 disruption on tumor cells promotes anti-tumor immunity by increasing tumor-infiltrating lymphocytes and modulating cytokine/chemokine profiles within the tumor microenvironment, thereby suppressing ovarian cancer progression."
29853601,Ovarian Carcinoma,neop,PRODUCES,Neoantigen,imft,"T-cell Responses to TP53 ""Hotspot"" Mutations and Unique Neoantigens Expressed by Human Ovarian Cancers."
29904979,Platinum,elii,ASSOCIATED_WITH,Ovarian Carcinoma,neop,PROBLEM: Development of platinum resistance in ovarian cancer is mediated by both cancer cells and tumor microenvironment.
29941482,T-Cell Receptor,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"A novel pipeline for neoantigen-specific T-cell receptor (TCR) identification has been validated in ovarian cancer, making use of HLA-matched allogeneic healthy donor T cells."
30012146,Interferons,aapp,TREATS,Ovarian Carcinoma,neop,We have designed a standard 3?+?3 dose escalation study to explore the highest tolerated dose of interferons and monocytes infused IP in patients with chemotherapy resistant ovarian cancer.
30012146,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,DISCUSSION: We have developed a novel immunotherapy focused on the innate immune system for the treatment of ovarian cancer.
30065096,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,We studied the phenotype and function of tumor-infiltrating Treg cells in ovarian cancer and melanoma to identify potential Treg cell-associated molecules that can be targeted by tumor immunotherapies.
